Month: Month,Breakdown Dimension,Sum of Value
"1 Jun, 2025",Suite Desktop/Web,122.2 k
"1 Jul, 2025",Suite Desktop/Web,168.2 k
"1 Aug, 2025",Suite Desktop/Web,132.4 k
"1 Sep, 2025",Suite Desktop/Web,108.8 k
"1 Oct, 2025",Suite Desktop/Web,128.7 k
"1 Nov, 2025",Suite Desktop/Web,89.4 k
"1 Dec, 2025",Suite Desktop/Web,96.2 k
"1 Jan, 2026",Suite Desktop/Web,93.8 k
"1 Feb, 2026",Suite Desktop/Web,84.3 k
"1 Mar, 2026",Suite Desktop/Web,70.9 k
"1 Apr, 2026",Suite Desktop/Web,66.5 k
"1 May, 2026",Suite Desktop/Web,0.9 k
