Month: Month,Metric,Sum of Value
"1 Jun, 2025",New user Retention after 1 month,43%
"1 Jun, 2025",New user Retention after 2 months,32%
"1 Jun, 2025",New user Retention after 3 months,26%
"1 Jul, 2025",New user Retention after 1 month,40%
"1 Jul, 2025",New user Retention after 2 months,28%
"1 Jul, 2025",New user Retention after 3 months,26%
"1 Aug, 2025",New user Retention after 1 month,39%
"1 Aug, 2025",New user Retention after 2 months,31%
"1 Aug, 2025",New user Retention after 3 months,24%
"1 Sep, 2025",New user Retention after 1 month,43%
"1 Sep, 2025",New user Retention after 2 months,29%
"1 Sep, 2025",New user Retention after 3 months,23%
"1 Oct, 2025",New user Retention after 1 month,38%
"1 Oct, 2025",New user Retention after 2 months,26%
"1 Oct, 2025",New user Retention after 3 months,23%
"1 Nov, 2025",New user Retention after 1 month,36%
"1 Nov, 2025",New user Retention after 2 months,26%
"1 Nov, 2025",New user Retention after 3 months,22%
"1 Dec, 2025",New user Retention after 1 month,33%
"1 Dec, 2025",New user Retention after 2 months,24%
"1 Dec, 2025",New user Retention after 3 months,20%
"1 Jan, 2026",New user Retention after 1 month,29%
"1 Jan, 2026",New user Retention after 2 months,20%
"1 Jan, 2026",New user Retention after 3 months,17%
"1 Feb, 2026",New user Retention after 1 month,28%
"1 Feb, 2026",New user Retention after 2 months,20%
"1 Mar, 2026",New user Retention after 1 month,27%
